method,n_cells,theta_mean,n_confounders,target,auroc,auprc,type_i,ks_stat,time
PGAA_linear,400,0.5,3,gene_0157,0.9181184668989547,0.6661734399263953,0.0313588850174216,0.16610315685598742,0.4021902084350586
Partial_Pearson,400,0.5,3,gene_0157,0.914924506387921,0.6655333854981743,0.03484320557491289,0.12769273095930578,0.10660409927368164
PGAA_linear,400,0.5,3,gene_0298,0.9518002322880372,0.8114890204426529,0.006968641114982578,0.06221958754135187,0.40267395973205566
Partial_Pearson,400,0.5,3,gene_0298,0.9523809523809523,0.8830082233696692,0.006968641114982578,0.06103105544406218,0.12979674339294434
PGAA_linear,400,0.5,5,gene_0248,0.8652729384436701,0.5735292200567134,0.0,0.043794111549412706,0.6196539402008057
Partial_Pearson,400,0.5,5,gene_0248,0.8394308943089431,0.6037234512214993,0.0,0.051755791358576095,0.10824322700500488
PGAA_linear,400,0.5,5,gene_0022,0.7473867595818815,0.33234227954084294,0.003484320557491289,0.1201117036530645,0.41765522956848145
Partial_Pearson,400,0.5,5,gene_0022,0.8150406504065041,0.3148601954044746,0.013937282229965157,0.0750641947168732,0.10187172889709473
PGAA_linear,400,0.5,5,gene_0011,0.825493612078978,0.4569457587884776,0.017421602787456445,0.053062125251413184,0.38285279273986816
Partial_Pearson,400,0.5,5,gene_0011,0.8313008130081301,0.4402150610204918,0.017421602787456445,0.07978113047247404,0.13837003707885742
PGAA_linear,400,0.5,5,gene_0018,0.943089430894309,0.79248557281296,0.003484320557491289,0.05819917026076332,0.41181015968322754
Partial_Pearson,400,0.5,5,gene_0018,0.8890824622531939,0.6623764934537025,0.006968641114982578,0.08024439157211416,0.1113591194152832
PGAA_linear,400,0.5,10,gene_0006,0.912020905923345,0.6947868036103332,0.003484320557491289,0.07903008130528882,0.4554131031036377
Partial_Pearson,400,0.5,10,gene_0006,0.8748548199767712,0.636911217408323,0.013937282229965157,0.10444414891404621,0.12610602378845215
PGAA_linear,400,0.5,10,gene_0159,0.9584785133565621,0.7858924265174266,0.0,0.09165776363243389,0.6631429195404053
Partial_Pearson,400,0.5,10,gene_0159,0.891114982578397,0.7189260253793646,0.0,0.07329613257073113,0.12348580360412598
PGAA_linear,400,0.5,10,gene_0254,0.8458188153310104,0.6285430801571039,0.0313588850174216,0.1498002296926782,0.5755701065063477
Partial_Pearson,400,0.5,10,gene_0254,0.8519163763066202,0.6430893786671908,0.013937282229965157,0.18178637605629666,0.2573721408843994
PGAA_linear,400,0.5,10,gene_0247,0.8379790940766552,0.56478591416324,0.020905923344947737,0.12310772806881232,0.545468807220459
Partial_Pearson,400,0.5,10,gene_0247,0.8858885017421603,0.6309772797915696,0.020905923344947737,0.1156076547647314,0.15409612655639648
PGAA_linear,800,0.15,3,gene_0007,0.693089430894309,0.25625543685142543,0.003484320557491289,0.05150270374481647,0.4950389862060547
Partial_Pearson,800,0.15,3,gene_0007,0.7003484320557491,0.2441740003933526,0.003484320557491289,0.05215623765479524,0.14220118522644043
PGAA_linear,800,0.15,3,gene_0057,0.7906504065040652,0.44438149577644614,0.003484320557491289,0.0853238566435841,0.4927690029144287
Partial_Pearson,800,0.15,3,gene_0057,0.8138792102206736,0.4486650923153549,0.0,0.07733828332192144,0.16217684745788574
PGAA_linear,800,0.15,3,gene_0031,0.6980255516840882,0.1803693324352403,0.017421602787456445,0.07562913382557346,0.6567916870117188
